33,25,26,15,3,onTime
41,24,30,9,6,onTime
56,22,19,18,2,lateTime
35,31,26,17,5,lateTime
35,41,44,0,0,lateTime
27,25,29,18,0,onTime
27,31,31,20,0,onTime
30,25,21,23,1,onTime
41,16,31,17,6,lateTime
43,20,30,13,2,onTime
41,20,26,18,5,onTime
34,33,30,12,3,lateTime
17,19,46,10,3,onTime
31,35,22,16,3,onTime
58,22,19,14,5,lateTime
52,23,18,21,3,lateTime
32,25,36,18,0,lateTime
30,35,15,20,5,onTime
9,16,22,35,0,onTime
32,21,27,19,3,onTime
35,23,32,17,1,onTime
40,18,21,14,9,onTime
45,27,39,15,0,lateTime
42,14,21,22,2,onTime
25,24,22,24,2,onTime
49,17,28,16,3,lateTime
30,26,27,19,0,onTime
44,21,22,22,1,lateTime
41,31,21,18,2,lateTime
51,16,18,24,3,lateTime
32,20,24,23,3,onTime
36,25,20,20,4,onTime
38,30,39,6,0,lateTime
39,24,26,22,3,lateTime
26,15,21,29,0,onTime
46,23,17,26,0,lateTime
31,18,44,10,0,onTime
27,18,52,9,0,onTime
55,15,20,21,3,lateTime
67,30,33,6,0,lateTime
42,24,25,20,1,lateTime
61,27,18,14,5,lateTime
36,19,27,23,2,onTime
46,28,21,18,3,lateTime
32,22,26,17,1,onTime
28,18,33,21,0,onTime
33,39,17,15,6,lateTime
42,24,29,24,1,lateTime
42,39,19,11,7,lateTime
7,20,16,19,13,onTime
48,23,22,25,0,lateTime
31,40,16,16,5,onTime
33,25,33,17,0,onTime
30,27,36,15,6,lateTime
31,18,39,12,0,onTime
36,31,31,15,0,lateTime
29,21,47,12,0,onTime
42,21,28,20,0,lateTime
52,22,13,19,6,lateTime
39,22,36,15,0,lateTime
63,12,17,26,1,lateTime
40,27,20,20,5,lateTime
7,11,15,24,12,onTime
37,36,23,15,0,lateTime
43,35,18,18,0,lateTime
36,21,24,27,4,lateTime
50,18,30,20,0,lateTime
36,33,22,22,0,lateTime
39,27,16,16,6,onTime
35,25,30,14,4,onTime
42,16,30,18,0,onTime
60,15,22,14,6,lateTime
42,31,23,11,5,lateTime
41,25,32,12,3,lateTime
30,35,27,10,5,onTime
36,17,28,25,1,onTime
47,20,26,15,5,lateTime
47,15,18,20,6,onTime
31,24,32,18,1,onTime
26,21,24,26,0,onTime
44,23,22,19,2,onTime
41,22,26,21,0,lateTime
34,28,41,18,0,lateTime
39,28,23,20,1,lateTime
17,25,32,21,0,onTime
37,23,43,9,0,lateTime
43,13,26,24,1,onTime
23,25,20,19,7,onTime
28,27,30,18,0,onTime
31,14,20,20,11,onTime
32,27,26,18,2,onTime
11,30,36,13,3,onTime
52,16,37,15,0,lateTime
35,27,24,24,1,lateTime
26,24,33,16,0,onTime
27,15,67,3,0,lateTime
32,21,31,15,3,onTime
37,21,25,20,5,onTime
38,22,19,21,4,onTime
36,11,33,21,0,onTime
56,25,24,19,0,lateTime
61,19,20,13,7,lateTime
45,30,27,13,1,lateTime
48,19,26,19,2,lateTime
48,25,35,8,0,lateTime
38,25,24,7,11,onTime
61,15,14,19,5,lateTime
31,34,22,19,4,onTime
34,25,24,14,5,onTime
32,24,33,16,0,onTime
45,23,23,22,0,lateTime
55,20,18,15,6,lateTime
56,11,23,22,1,lateTime
55,24,27,16,0,lateTime
53,23,18,18,5,lateTime
29,16,30,21,0,onTime
32,25,33,18,0,onTime
31,24,28,19,4,onTime
75,14,31,15,2,lateTime
45,23,24,21,1,lateTime
28,29,30,15,3,onTime
27,27,28,18,6,onTime
38,25,51,2,0,lateTime
33,25,19,25,1,onTime
35,19,22,25,0,onTime
39,23,19,18,5,onTime
59,19,25,16,3,lateTime
31,32,21,14,6,onTime
63,19,24,17,4,lateTime
42,22,42,7,0,lateTime
45,26,32,12,3,lateTime
33,28,25,19,2,onTime
36,25,37,15,2,lateTime
41,20,24,18,9,lateTime
57,15,33,12,0,lateTime
38,19,36,15,0,onTime
41,13,33,23,0,onTime
30,33,29,18,1,lateTime
37,25,22,29,0,lateTime
30,22,53,9,0,lateTime
46,27,36,11,0,lateTime
31,17,36,16,0,onTime
24,27,27,17,6,onTime
31,36,30,12,1,onTime
27,24,34,15,3,onTime
38,23,26,28,0,lateTime
44,21,22,23,2,lateTime
44,17,14,25,6,onTime
40,24,41,12,0,lateTime
31,21,28,23,1,onTime
48,20,21,20,4,lateTime
43,23,23,20,0,onTime
29,29,36,12,0,onTime
44,26,22,24,1,lateTime
38,27,32,13,1,lateTime
11,14,24,16,13,onTime
37,23,21,14,7,onTime
48,20,23,21,3,lateTime
35,25,7,20,9,onTime
42,39,24,7,4,lateTime
34,24,24,24,0,onTime
31,28,33,15,0,onTime
57,29,18,15,9,lateTime
46,32,17,19,5,lateTime
29,28,23,24,1,onTime
